product,brand,category,sub_category,description,text
Sports Mix - Premium Dry Fruits,Nutty Gritties,Gourmet & World Food,"Snacks, Dry Fruits, Nuts","These nuts are power-packed with nutrition. Enjoy something that is both tasty and healthy. Gorge on nuts that is a feast of the kings and makes you as healthy as Hercules who lifts the world. In other words - Get the energy to do herculean tasks and enjoy good health and immunity. Nothing beats the health benefits of these nuts. They are rich in vitamin C and dietary fibre. They taste sweet and tangy,

Appearance - A fresh and crunchy mix of roasted almonds, roasted cashews, roasted pistachios, dried blueberries, dried cranberries and raisins. 
Texture - Fresh and crunchy nuts mixed with soft and delicious blueberries, cranberries and raisins","Sports Mix - Premium Dry Fruits Nutty Gritties Gourmet & World Food Snacks, Dry Fruits, Nuts These nuts are power-packed with nutrition. Enjoy something that is both tasty and healthy. Gorge on nuts that is a feast of the kings and makes you as healthy as Hercules who lifts the world. In other words - Get the energy to do herculean tasks and enjoy good health and immunity. Nothing beats the health benefits of these nuts. They are rich in vitamin C and dietary fibre. They taste sweet and tangy,

Appearance - A fresh and crunchy mix of roasted almonds, roasted cashews, roasted pistachios, dried blueberries, dried cranberries and raisins. 
Texture - Fresh and crunchy nuts mixed with soft and delicious blueberries, cranberries and raisins"
Furniture Polish Wood,Pledge,Cleaning & Household,All Purpose Cleaners,"This furniture polish is designed specifically for use on wooden surfaces. Pledge Furniture Polish Dust & Protect method contains a combine of polishes and conditioners that simply remove dust and dirt to clean and keep from each day marks. It offers your furniture with greater care ensuring a good-looking normal finish on all surfaces, mainly wood.","Furniture Polish Wood Pledge Cleaning & Household All Purpose Cleaners This furniture polish is designed specifically for use on wooden surfaces. Pledge Furniture Polish Dust & Protect method contains a combine of polishes and conditioners that simply remove dust and dirt to clean and keep from each day marks. It offers your furniture with greater care ensuring a good-looking normal finish on all surfaces, mainly wood."
Dishwash Liquid - Lemon With Aloe Vera,BB Home,Cleaning & Household,Detergents & Dishwash,"Dishwash liquid is ideal for cleaning stains from your utensils and keeping them clean. It helps remove germs from the surface of the utensils and keeps them spic and span, giving them all the shining that they need. The aloe vera in the dishwash liquid ensures that your skin remains soft even after scrubbing utensils, thereby protecting your skin. BbHome is a brand from the house of bigbasket and yearns to provide quality products to all customers at a reasonable price.","Dishwash Liquid - Lemon With Aloe Vera BB Home Cleaning & Household Detergents & Dishwash Dishwash liquid is ideal for cleaning stains from your utensils and keeping them clean. It helps remove germs from the surface of the utensils and keeps them spic and span, giving them all the shining that they need. The aloe vera in the dishwash liquid ensures that your skin remains soft even after scrubbing utensils, thereby protecting your skin. BbHome is a brand from the house of bigbasket and yearns to provide quality products to all customers at a reasonable price."
Detoxing Organic Slim Tea,Typhoo,Beverages,Tea,"As the name suggests, slim tea has been created with 100% organic ingredients for functionality. Pure Psyllium husk which is prebiotic. Senna for speedy digestion, Fennel, Lemongrass and Liquorice to boost metabolism, which in turns burns fat. This caffeine-free herbal tea paired and balance by our master blenders to boost metabolism.","Detoxing Organic Slim Tea Typhoo Beverages Tea As the name suggests, slim tea has been created with 100% organic ingredients for functionality. Pure Psyllium husk which is prebiotic. Senna for speedy digestion, Fennel, Lemongrass and Liquorice to boost metabolism, which in turns burns fat. This caffeine-free herbal tea paired and balance by our master blenders to boost metabolism."
Tej Diffuser Oil,Omved,Beauty & Hygiene,Skin Care,"This oil is a blend of citrus fragrances of essential oils of bergamot, lemon, and juniper. This synergy of blends will help you relax, uplift and stimulate both body and mind.

Our diffuser oils have been formulated from 100% pure, undiluted therapeutic grade essential oils revered for centuries in Ayurveda for their restorative properties to body, mind, and spirit. 

Enjoy the pure pleasure of truly natural healing scents and the joy and sense of well-being they bring. Inhale, restore and feel peace.  For Beauty tips, tricks & more visit https://bigbasket.blog/","Tej Diffuser Oil Omved Beauty & Hygiene Skin Care This oil is a blend of citrus fragrances of essential oils of bergamot, lemon, and juniper. This synergy of blends will help you relax, uplift and stimulate both body and mind.

Our diffuser oils have been formulated from 100% pure, undiluted therapeutic grade essential oils revered for centuries in Ayurveda for their restorative properties to body, mind, and spirit. 

Enjoy the pure pleasure of truly natural healing scents and the joy and sense of well-being they bring. Inhale, restore and feel peace.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
Premium Care New Baby Small - 21 Diapers,Pampers ,Baby Care,Diapers & Wipes,"New Pampers Premium Pants with cotton-like soft materials is best for the delicate skin of the baby. Pampers Premium Pants contain lotion with Aloe Vera and 3 Air Channels which helps the skin breathe. Experience 5 Star comfort with unique added features like Wetness Indicator which turns Yellow to Blue indication when you may change and Disposal Tape which helps you in the easy disposal of the diaper. Pampers is the No. 1 choice of diapers as rated by Doctors. Pampers Premium Pants are available in New-born (NB), S, M, L, XL and XXL sizes.","Premium Care New Baby Small - 21 Diapers Pampers  Baby Care Diapers & Wipes New Pampers Premium Pants with cotton-like soft materials is best for the delicate skin of the baby. Pampers Premium Pants contain lotion with Aloe Vera and 3 Air Channels which helps the skin breathe. Experience 5 Star comfort with unique added features like Wetness Indicator which turns Yellow to Blue indication when you may change and Disposal Tape which helps you in the easy disposal of the diaper. Pampers is the No. 1 choice of diapers as rated by Doctors. Pampers Premium Pants are available in New-born (NB), S, M, L, XL and XXL sizes."
Organic Indrayani Rice/Akki,Praakritik,"Foodgrains, Oil & Masala",Organic Staples,"Uniquely aromatic, our Organic Indrani Rice is exclusively grown and sourced from certified organic farms in the Maval region of Maharashtra. These rice are known to help increase metabolism, aid digestion, reduce high blood pressure, help weight loss, boost immunity and maintain gut health. 
Sticky when cooked, it is packed with nutrients like niacin, vitamin D, calcium, fiber, iron, thiamine, and riboflavin, which are essential for overall well-being. Easy to digest, this rice makes for a great and a metabolism booster and hence supports weight loss.","Organic Indrayani Rice/Akki Praakritik Foodgrains, Oil & Masala Organic Staples Uniquely aromatic, our Organic Indrani Rice is exclusively grown and sourced from certified organic farms in the Maval region of Maharashtra. These rice are known to help increase metabolism, aid digestion, reduce high blood pressure, help weight loss, boost immunity and maintain gut health. 
Sticky when cooked, it is packed with nutrients like niacin, vitamin D, calcium, fiber, iron, thiamine, and riboflavin, which are essential for overall well-being. Easy to digest, this rice makes for a great and a metabolism booster and hence supports weight loss."
Cardamom Instant Chai - Without Sugar,Chai Point,Gourmet & World Food,Drinks & Beverages,"This Invigorating combination of Fragrant Cardamom and Pure Assam Black Tea promises to be goodness in a cup, with no added sugar Cardamom Chai that is truly easy to fix perfectly to savour any day, any time. Savour this chai along with your favourite biscuits and enjoy your leisure time.","Cardamom Instant Chai - Without Sugar Chai Point Gourmet & World Food Drinks & Beverages This Invigorating combination of Fragrant Cardamom and Pure Assam Black Tea promises to be goodness in a cup, with no added sugar Cardamom Chai that is truly easy to fix perfectly to savour any day, any time. Savour this chai along with your favourite biscuits and enjoy your leisure time."
Turmeric Tea Sampler Pack -  4 Variety,VAHDAM,Beverages,Tea,"An exclusive Turmeric Wellness Pack from our Golden elixir range, which consists of four of our expertly curated and skillfully blended healthy turmeric blends. Unlock the power of superfood ‘Turmeric’ mixed with the choicest natural ingredients which serve a hearty purpose of healing and nourishing you!","Turmeric Tea Sampler Pack -  4 Variety VAHDAM Beverages Tea An exclusive Turmeric Wellness Pack from our Golden elixir range, which consists of four of our expertly curated and skillfully blended healthy turmeric blends. Unlock the power of superfood ‘Turmeric’ mixed with the choicest natural ingredients which serve a hearty purpose of healing and nourishing you!"
Mango Chilli Jam,Prasukh,Gourmet & World Food,"Sauces, Spreads & Dips","A smooth and balanced spread of sweetness and spice. Alphonso's and chili merge to give you a double kick of taste sensation. Chia enhances this blend with omega 3 goodness making it very healthy. No Preservatives added, 100% Natural. Prasukh provides food without impurities. It is a powerful dose of health & taste.","Mango Chilli Jam Prasukh Gourmet & World Food Sauces, Spreads & Dips A smooth and balanced spread of sweetness and spice. Alphonso's and chili merge to give you a double kick of taste sensation. Chia enhances this blend with omega 3 goodness making it very healthy. No Preservatives added, 100% Natural. Prasukh provides food without impurities. It is a powerful dose of health & taste."
